closure_group_id,rca,ur,graph_children,length_m,lat,lon
{495af69c-b67f-4a91-9816-085e7aaa8619},Waka Kotahi NZ Transport Agency,rural,2,2251,-37.69927,176.15281
{6df1835f-b00b-49d7-990d-537e6d75738d},Waka Kotahi NZ Transport Agency,rural,12,2231,-40.35213,175.59518
{aa20d5b8-3c18-40de-925c-392097990d89},Waka Kotahi NZ Transport Agency,rural,3,2202,-37.67388,176.17015
{797e4583-913b-48c1-900b-fe394d9c5b77},Waka Kotahi NZ Transport Agency,rural,4,2192,-41.22622,173.39244
{59bddee0-e2ab-49c0-9ae9-97a7b675f9b0},Waka Kotahi NZ Transport Agency,rural,6,2182,-41.15721,174.97459
{64a4c90a-ecf8-4d46-9b59-467aa9b32a30},Waka Kotahi NZ Transport Agency,rural,2,2154,-42.89783,171.55574
{25769f8b-4b92-4840-88fc-117b3b1e9a18},Waka Kotahi NZ Transport Agency,rural,1,2140,-37.89389,175.70748
{c20d8db3-b960-4b23-9156-0792d3deaef0},Waka Kotahi NZ Transport Agency,rural,5,2121,-40.99928,174.94051
{944f7e29-359a-48c4-95b8-028b30ebe923},Waka Kotahi NZ Transport Agency,rural,2,2111,-39.68849,176.78770
{1ac00e09-4104-48b7-911c-750ed2139bb0},Waka Kotahi NZ Transport Agency,rural,3,2105,-42.39046,171.24227
{b5e492b4-4960-4aed-8cb2-a62f13a16a4d},Waka Kotahi NZ Transport Agency,rural,1,2098,-35.20492,173.50403
{ca9eb516-3a53-4a07-a97e-1017eaec817b},Waka Kotahi NZ Transport Agency,rural,4,2096,-37.70305,176.12745
{fa716907-c21e-4862-931a-ed4ee03884ae},Waka Kotahi NZ Transport Agency,rural,20,2077,-40.35408,175.61589
{f28bd56c-2761-49a5-a5b1-77b1a1fd586c},Waka Kotahi NZ Transport Agency,rural,1,2064,-37.14696,175.67042
{8921781e-97c8-4095-bf28-e2d242b30d36},Waka Kotahi NZ Transport Agency,rural,4,2055,-37.88205,175.73954
{0cd9f0cc-5b6f-43d5-bb8e-073733f1af8e},Waka Kotahi NZ Transport Agency,rural,1,2036,-41.67332,171.80181
{3a143255-51c7-4df2-be48-afd2acae953a},Waka Kotahi NZ Transport Agency,rural,2,2034,-37.13029,175.74736
{2d658631-739b-46ac-ac4a-bf1a96a1e441},Waka Kotahi NZ Transport Agency,rural,3,2034,-37.61115,175.58036
{f75ef3ae-df9a-4b3c-b383-270e0d0faebf},Waka Kotahi NZ Transport Agency,rural,5,2012,-43.36744,170.18596
{15765c08-50f3-4074-bb0f-c31902fb8c88},Waka Kotahi NZ Transport Agency,rural,3,2002,-43.54140,172.52651
{75eda359-8806-4256-a17e-2e28a0d64117},Waka Kotahi NZ Transport Agency,rural,3,1993,-42.94027,171.55898
{9c8d512c-73ae-485e-9a6e-1836fba3765e},Waka Kotahi NZ Transport Agency,rural,1,1956,-35.71117,173.57547
{a720bd14-ec1c-4e18-bca0-6c8426e5ae38},Waka Kotahi NZ Transport Agency,rural,2,1955,-37.71359,175.45423
{86a0d0cc-6763-4efb-8aea-450bad3117aa},Waka Kotahi NZ Transport Agency,rural,6,1947,-37.99707,175.20049
{7b9ebe2e-9de4-4152-8d12-694b6333f8ce},Waka Kotahi NZ Transport Agency,rural,3,1944,-35.77639,174.24588
{1215384b-0002-404d-896e-a19944ee9dfc},Waka Kotahi NZ Transport Agency,rural,8,1941,-36.81386,175.69869
{5bd001ed-e042-4dc3-ba64-a820036904bd},Waka Kotahi NZ Transport Agency,rural,8,1939,-43.54802,172.62411
{c2ef47d2-f312-4968-8930-6ef967c1e6ba},Waka Kotahi NZ Transport Agency,rural,1,1920,-39.18848,175.53123
{3544af2d-8a8f-4a25-b206-e7d0036c8e1c},Waka Kotahi NZ Transport Agency,rural,4,1919,-42.12664,171.83649
{f50e2057-8cdf-449a-a991-4050732f424e},Waka Kotahi NZ Transport Agency,rural,7,1898,-41.05798,175.49522
{c2d4d16d-0bc3-49ba-986f-fd5580b19113},Waka Kotahi NZ Transport Agency,rural,4,1897,-40.24229,175.57319
{4a37fd03-0628-41d6-b972-f519b9b5cfdf},Waka Kotahi NZ Transport Agency,rural,8,1892,-37.82530,175.76989
{c8ba8ccf-42be-4059-992d-922404a8e37d},Waka Kotahi NZ Transport Agency,urban,2,1883,-37.67850,176.21682
{e6db699c-0a6d-4a1d-b8ea-76aa1537544a},Waka Kotahi NZ Transport Agency,rural,2,1880,-35.49716,173.83544
