closure_group_id,rca,length_m,lat,lon
{d7dd1c5d-4c08-4416-9beb-0083af85c5d8},Waka Kotahi NZ Transport Agency,14225,-38.99390,175.33618
{be2df85b-3de6-477e-9a7e-8aa16e486df2},Otorohanga District Council,14224,-38.28460,175.52521
{2ccaf17c-67e3-4673-a0f9-451dbe1d759f},Whakatane District Council,14186,-38.62948,176.97588
{59b1a42e-41b1-4036-bb09-21ff1da4e0db},Land Information New Zealand,14160,-44.10909,170.23185
{df738264-ccc2-479a-bfe3-db9c4fa44876},Far North District Council,14146,-35.10069,173.33920
{df4b195b-4ed8-4d7c-8962-6bcfcf42d039},Carterton District Council,14061,-41.19424,175.58398
{ddad9ba8-9d36-46f5-9737-82d908cd6a9a},Far North District Council,14016,-35.11690,173.84005
{12af6fcb-11c7-470f-a920-889ef74f7aab},Land Information New Zealand,14004,-41.59856,173.56957
{d1e956a0-e514-4266-9957-aa958b36d495},South Waikato District Council,13988,-38.24230,175.73062
{5cd52f77-baa9-4112-820c-fbb5a8b88751},Land Information New Zealand,13951,-36.80662,174.35321
{2362e41f-e931-407c-9a6d-0c9889bf40b1},South Waikato District Council,13937,-38.14609,175.63417
{9de7492e-6719-49a4-941c-63efca2f386e},Land Information New Zealand,13930,-38.76319,176.38086
{b372012d-9508-4662-94c9-745fae2c2715},Land Information New Zealand,13923,-38.82208,176.49498
{2e0c8a3a-bcad-4b72-8372-d9d14112d080},Department of Conservation,13851,-38.39494,175.55117
{4be3284c-5926-49ae-ab52-4bf596b802d6},Waka Kotahi NZ Transport Agency,13847,-37.88404,176.62416
{b2b8a13c-221f-4df9-9c25-2ff6966de106},Land Information New Zealand,13846,-34.58541,172.81903
{72064f64-b411-454b-a3e5-93a97b013884},Department of Conservation,13809,-38.61118,177.07177
{fcfb8001-d9bc-477d-a7fd-81cd8c22a5c3},Land Information New Zealand,13717,-44.10105,170.23723
{1c97fe26-1462-41db-b334-719a3adebf5e},Rangitikei District Council,13627,-39.69337,175.59591
{d8d6e830-1941-49a1-b362-15e51b96308d},Selwyn District Council,13510,-43.77856,172.34358
{719a2ba5-55e8-4009-b5c3-2f62f72f4319},Waipa District Council,13482,-37.92611,175.08097
{1a3aba7e-45bb-4c42-a3fb-af27ca5367d6},Central Otago District Council,13449,-45.10260,169.92616
{935ed1e5-4c8f-43ba-b7d7-6724ba1928a9},Mackenzie District Council,13442,-44.25331,170.54535
{cda58765-9e74-4987-8d03-6e9d72de9ca1},Land Information New Zealand,13441,-38.28032,175.70610
{ffc98409-91bd-4bab-92d6-8f8c91784e8b},Waka Kotahi NZ Transport Agency,13438,-45.49070,170.12493
{be5fa9a5-2b41-42c0-9164-9b4bd33186af},Land Information New Zealand,13411,-45.45582,168.69448
{fd06acd7-2195-4567-83ee-e4b9a963f7bd},Land Information New Zealand,13395,-41.26965,173.34343
{fe04870b-97f3-4084-92d6-00f5cdd9a822},Waka Kotahi NZ Transport Agency,13376,-38.42751,175.81105
{2b2ff761-23f4-4a63-b3a8-823196e3b6ce},South Waikato District Council,13369,-38.23472,175.93314
{05d9d1c0-9dfe-499b-b8e0-9429d96a3743},Selwyn District Council,13333,-43.42738,172.00425
{8b1e568f-e221-486f-b42b-2297f394db9b},Western Bay of Plenty District Council,13325,-37.86975,176.07110
{a76437bd-b7bf-4406-b4de-2b397279c7d2},Land Information New Zealand,13324,-44.38291,170.59998
{ec75b57b-24bb-4604-bb78-cd4b925b4625},Land Information New Zealand,13292,-38.61764,177.36717
{e6574388-ae7e-41c0-9a6c-aae345b7bc3f},Southland District Council,13284,-45.47298,169.14069
{91b2e9e5-beb1-433f-9838-c68c7938d797},Land Information New Zealand,13265,-44.71342,170.93123
{6f630244-b550-43d0-a24a-9f64623e1de5},Land Information New Zealand,13243,-41.13340,173.51819
{f6d7703e-569b-4231-800b-c7d2ec35f676},South Wairarapa District Council,13182,-41.48729,175.50086
{545cfe7f-7acd-439a-a9c1-96d1a9746d9f},South Waikato District Council,13172,-38.05937,175.65869
{49825389-9425-4a29-b359-56c71c4cacde},Timaru District Council,13167,-44.01474,171.25923
{4a971c53-b952-48d5-9d00-37da562dd77f},Selwyn District Council,13128,-43.64207,172.34916
{c04c0126-6a23-416f-90ba-dc5347ff9261},Waipa District Council,13113,-37.90615,175.32389
{5646bf58-5bdf-48db-8477-5d5db2742a75},Land Information New Zealand,13083,-45.57232,170.56159
{88726f32-bc9c-4025-b919-ddbc2e97f4cb},Timaru District Council,13082,-44.44005,171.10517
{9391444a-23ed-4202-99b8-e623ecd3bd2a},Department of Conservation,13078,-41.76557,173.82325
{dc933004-344d-420d-9055-613784606bfb},Land Information New Zealand,13034,-44.61084,170.23340
{7273e7d5-0f87-4d2c-8c3d-067ddb59b848},Carterton District Council,13033,-41.18684,175.84678
{b8c1fdb1-e3a4-4709-829d-ffa1720ecd98},Land Information New Zealand,13012,-43.19349,172.33878
{cc30a466-6d01-4412-83f9-6e4b9a326fd2},Waikato District Council,13000,-37.54607,175.14221
{2af3e371-912d-4c8d-8897-6295be589219},Land Information New Zealand,12999,-38.71611,176.17597
{76af5309-a5eb-41c8-a403-9713a054b758},Land Information New Zealand,12977,-41.21835,174.96052
{e3a35f92-c743-461a-a0b3-aa845815f2f8},Land Information New Zealand,12974,-41.21833,174.96052
{a5220131-5fcf-4968-b6ce-a33aa33f84ee},Ruapehu District Council,12964,-39.03099,175.02461
{c973187d-a556-4f2f-88e8-e51e31e49992},South Waikato District Council,12820,-38.13881,175.69187
{8480c92a-d8ba-4996-8f6e-a4091026583a},Waka Kotahi NZ Transport Agency,12763,-38.32556,175.82308
{56aa3fed-23c1-4bb6-b807-63cce0f1f417},Dunedin City Council,12747,-45.73479,170.51538
{4a6995c0-5059-4402-9403-f6f1dcded441},Selwyn District Council,12724,-43.58772,172.07604
{4ffbeefc-a420-43ff-a7fa-adc16d6360e1},Department of Conservation,12711,-41.56704,173.33979
{e28e8b7c-51e6-40b8-bfcc-b1ef3952a31f},Central Otago District Council,12656,-44.88889,169.35863
{c2c82df5-ae89-4e79-8330-5776fd859a86},Land Information New Zealand,12633,-38.92009,177.19512
{aa9a5606-be36-4c92-b7ac-f45d0adbdac1},Far North District Council,12620,-35.31827,173.77625
{e26c81b9-b34c-4a08-ae0d-4af648e1fc9f},Western Bay of Plenty District Council,12592,-37.94676,176.50839
{de7e6e88-751b-4802-81c2-3a10b72c288b},Land Information New Zealand,12546,-42.58690,172.50142
{6b4cc6af-332d-4706-a4eb-c84e8221b740},Land Information New Zealand,12536,-38.24210,176.62153
{364cfd78-9542-483f-802f-f01167161921},Department of Conservation,12521,-39.41233,175.49522
{bafc4df9-a594-4ca2-b737-d048db0ce559},Land Information New Zealand,12516,-41.63029,172.82768
